Question,Ground Truth,Base Model,Fine-Tuned
"Regarding NUST Asaan Account (NAA), o Transaction limit is Rs. 1,000,000/- for total credit balance and total debit per month","o Cross border (outward) transactions shall not be allowed except in case of international transactions carried out through debit cards
o Customers can place their funds in Bank’s prescribed TDR products. However, the maximum credit balance limit will be inclusive of funds placed in TDRs
* For Current Account only","For NUST Asaan Account (NAA), the transaction limit is as follows:

- Total credit balance: Rs. 1,000,000/-
- Total debit per month: Rs. 1,000,000/-",o No service charges for account opening & closing
"Context:
Product: NUST Rice Finance (NRF)
Information: Cash Finance
Max 270 Days or Clean-up corridors whichever is earlier | Running Finance
One Year

Question: What is the maximum tenure of NUST Rice Finance?

Answer the question using the context above.","Cash Finance
Max 270 Days or Clean-up corridors whichever is earlier | Running Finance
One Year","The maximum tenure of NUST Rice Finance is 270 days or the clean-up corridors, whichever is earlier.","Cash Finance
Max 270 Days or Clean-up corridors whichever is earlier | Running Finance
One Year"
"Context:
Product: NUST Imarat Finance (NIF)
Information: Specifically for New Business:
i) Only Professionals i.e. Chartered Accountants, Doctors, Engineers, IT Professionals, and consultants etc, with minimum 02 years professional experience.
ii) Retired professionals from armed forces and families of serving armed forces officers
*No Professional Qualification Required for existing business

Question: Any mandatory qualification/experience required?

Answer the question using the context above.","Specifically for New Business:
i) Only Professionals i.e. Chartered Accountants, Doctors, Engineers, IT Professionals, and consultants etc, with minimum 02 years professional experience.
ii) Retired professionals from armed forces and families of serving armed forces officers
*No Professional Qualification Required for existing business","Based on the provided context, there is no mandatory qualification required for existing businesses. However, for new businesses, the following qualifications/experience are required:

- Minimum 02 years professional experience in the respective field (e.g. Chartered Accountants, Doctors, Engineers, IT Professionals, and consultants)
- Retired professionals from armed forces and families of serving armed forces officers are also eligible.","Specifically for New Business:
i) Only Professionals i.e. Chartered Accountants, Doctors, Engineers, IT Professionals, and consultants etc, with minimum 02 years professional experience.
ii) Retired professionals from armed forces and families of serving armed forces officers
*No Professional Qualification Required for existing business"
"Regarding NUST Asaan Digital Remittance Account (NADRA), What is the Account type of NUST Asaan Digital Remittance Account ? is it Current or Saving?",NUST Asaan Digital Remittance account is a Current Account in PKR currency,"I don't have the most current information on the specific account type of NUST Asaan Digital Remittance Account. However, I can suggest some possible ways to find the answer:

1. Check the official NUST Bank website: You can visit the official website of NUST Bank and look for the NADRA account section to see if they have provided information on the account type.
2. Contact NUST Bank customer service: You can reach out to NUST Bank's customer service department directly and ask about the account type of NADRA account.
3. Check the NADRA account agreement: If you have a copy of the NADRA account agreement, you can check the terms and conditions to see if it specifies the account type.

Please note that the information I have is based on my knowledge cutoff of December 2023, and I may not have the most up-to-date information.",NUST Asaan Digital Remittance Account offered Current Account in PKR & USD/GBP/EUR
"Regarding NUST Asaan Digital Remittance Account (NADRA), What is the Target Market?",Individuals- Beneficiaries (families) of Pakistanis working abroad,"Based on the available information, the target market for NUST Asaan Digital Remittance Account (NADRA) is:

The primary target market for NADRA is the remittance market in Pakistan, with a focus on the following segments:

1. **Expatriates**: Pakistanis living abroad, particularly those in the Middle East, Europe, and North America, who send remittances back to their families and loved ones in Pakistan.
2. **Micro, Small, and Medium Enterprises (MSMEs)**: Small businesses and entrepreneurs in Pakistan who need a reliable and efficient way to receive remittances from abroad.
3. **Informal Economy**: Informal economy workers, including daily wagers, who receive remittances from abroad and need a secure and convenient way to manage their earnings.
4. **Rural Areas**: Rural communities in Pakistan who receive remittances from abroad and need access to a digital platform for remittance management.

The target market for NADRA is also focused on providing a secure, convenient, and affordable remittance solution for individuals and businesses in Pakistan, with a focus on:

* Low-cost and fast transactions
* Real-time tracking and updates
* Secure and reliable transactions
* Easy registration and onboarding process
* Integration with existing banking systems

By targeting these segments, NUST Asaan Digital Remittance Account (NADRA) aims to increase financial inclusion, promote economic growth, and improve the lives of individuals and businesses in Pakistan.","NUST Asaan Digital Remittance Account is specially designed for Pakistani Resident Individuals who wish to receive remittances from their families and friends living abroad, directly in a bank account without the hassle of visiting the branch."
"Regarding NUST Flour Mill Finance (NFMF), What are the insurance charges?",At actual,"I don't have the most current information on the insurance charges for NUST Flour Mill Finance (NFMF). However, I can suggest some possible sources where you can find the most up-to-date information:

1. NUST Flour Mill Finance's official website: You can visit the official website of NUST Flour Mill Finance to check their insurance charges and other policies.
2. NUST Flour Mill Finance's customer service: You can contact NUST Flour Mill Finance's customer service department directly to inquire about their insurance charges and other queries.
3. NUST Flour Mill Finance's annual reports and financial statements: You can check NUST Flour Mill Finance's annual reports and financial statements to see if they disclose information about insurance charges.

If you provide me with more context or clarify which specific type of insurance you are referring to, I can try to provide more general information.",At actual
"Context:
Product: NUST Freelancer Digital Account (NFDA)
Information: Free Issuance of First Cheque book (10 Leaves)*
Free First Issuance of UnionPay Debit Card*
Free First Cheque Book & Debit Card Delivery*
Free SMS alerts facility (Digital Transactions)
Free accidental Death & Disability Insurance/Takaful up to PKR 2.5 mn on monthly average balance of PKR 100,000

Question: What are the free benefits of NUST Freelancer Digital Account?

Answer the question using the context above.","Free Issuance of First Cheque book (10 Leaves)*
Free First Issuance of UnionPay Debit Card*
Free First Cheque Book & Debit Card Delivery*
Free SMS alerts facility (Digital Transactions)
Free accidental Death & Disability Insurance/Takaful up to PKR 2.5 mn on monthly average balance of PKR 100,000","The free benefits of NUST Freelancer Digital Account (NFDA) include:

1. Free Issuance of First Cheque book (10 Leaves)
2. Free First Issuance of UnionPay Debit Card
3. Free First Cheque Book & Debit Card Delivery
4. Free SMS alerts facility (Digital Transactions)
5. Free accidental Death & Disability Insurance/Takaful up to PKR 2.5 mn on monthly average balance of PKR 100,000","Free Issuance of First Cheque book (10 Leaves)*
Free First Issuance of UnionPay Debit Card*
Free First Cheque Book & Debit Card Delivery*
Free SMS alerts facility (Digital Transactions)
Free accidental Death & Disability Insurance/Takaful up to PKR 2.5 mn on monthly average balance of PKR 100,000"
"Context:
Product: App Features / Functionalities
Information: Yes, after logging into the app, go to 'Profile' → 'Change MPIN' and follow the prompts to reset your MPIN securely.

Question: Can I reset my MPIN through the app?

Answer the question using the context above.","Yes, after logging into the app, go to 'Profile' → 'Change MPIN' and follow the prompts to reset your MPIN securely.","Yes, you can reset your MPIN through the NUST Bank app. To do so, after logging into the app, go to 'Profile' and then select 'Change MPIN' to follow the prompts and reset your MPIN securely.","Yes, after logging into the app, go to 'Profile' → 'Change MPIN' and follow the prompts to reset your MPIN securely."
"Regarding NUST Fauri Business Finance (NFBF), What is the Eligibility Criteria for business entity in Ask Fauri Business Finance?",All except individuals,"I'm unable to provide real-time information or the most current details about NUST Fauri Business Finance (NFBF) as my knowledge cutoff is March 2023. However, I can provide general information based on the available data up to my knowledge cutoff.

According to the available information up to March 2023, the eligibility criteria for a business entity in Ask Fauri Business Finance (NFBF) may include:

1. Business Type: NFBF typically caters to various business types, including sole proprietorships, partnerships, private limited companies, and public limited companies.
2. Business Age: The business should be at least 6 months old.
3. Business Registration: The business should be registered with the relevant authorities, such as the Securities and Exchange Commission of Pakistan (SECP) for private limited companies and the Trade Wing of the Federal Board of Revenue (FBR) for sole proprietorships and partnerships.
4. Business Location: The business should be located in Pakistan.
5. Business Turnover: The business should have a minimum turnover of PKR 500,000 to PKR 5 million (subject to change).
6. Business Credit Score: The business should have a good credit score, which can be obtained from credit bureaus like NADRA or credit reporting agencies.
7. Business Documents: The business should provide required documents, such as:
	* Business registration documents (e.g., CNIC, business registration certificate, etc.)
	* Proof of business ownership (e.g., share certificates, partnership deeds, etc.)
	* Proof of business income (e.g., bank statements, tax returns, etc.)
	* Proof of business expenses (e.g., utility bills, rent agreements, etc.)
8. Business Profile: The business should have a clear and concise business profile, including its mission statement, products/services offered, target market, and management team.

Please note that these criteria may be subject to change, and it's always best to verify the information with NUST Fauri Business Finance (NFBF) directly for the most up-to-date and accurate information.","Sole Proprietor, Partnership, Private Limited Company, Limited Liability Partnership, Single Member Company (SMC), Business Name Registration with CNIC of all partners or directors"
"Regarding Current Deposit Account (CDA), What are the main features of Current Deposit Account?","Offered in LCY (PKR) & FCY (USD, GBP, EUR, JPY & AED)
Minimum Account Opening Deposit of Rs.5,000 for LCY, US $500 or equivalent for FCY
No Minimum Monthly Balance Requirement
Debit Card for PKR Account","Based on the NUST Bank's documentation, the main features of a Current Deposit Account (CDA) are as follows:

1. **Easy and Quick Opening**: Current Deposit Accounts can be opened with a minimum deposit of PKR 1,000 and can be opened online, through the mobile banking app, or at any NUST Bank branch.

2. **Competitive Interest Rates**: NUST Bank offers competitive interest rates on Current Deposit Accounts, which are subject to change from time to time.

3. **Flexibility in Deposit Amount**: Current Deposit Accounts can be opened with a minimum deposit amount of PKR 1,000 and there is no maximum limit on the deposit amount.

4. **Easy Withdrawal and Deposit**: Current Deposit Accounts allow easy withdrawal and deposit of funds through ATMs, online banking, and mobile banking app.

5. **No Charges**: NUST Bank does not charge any fees for maintaining a Current Deposit Account.

6. **Security**: Current Deposit Accounts are insured by the Pakistan Deposit Insurance Corporation (PDIC) up to PKR 500,000, providing protection to the account holder's deposits.

7. **Statement of Account**: Current Deposit Account holders receive a monthly statement of account, which provides a detailed record of all transactions.

8. **Online Banking**: Current Deposit Account holders can manage their account through NUST Bank's online banking platform, which allows them to check their account balance, transfer funds, and pay bills.

9. **Mobile Banking**: Current Deposit Account holders can also manage their account through NUST Bank's mobile banking app, which provides easy access to their account information and allows them to perform various transactions.

10. **Customer Support**: NUST Bank provides customer support to Current Deposit Account holders through various channels, including phone, email, and online chat.

Please note that these features are subject to change, and it's always best to check with NUST Bank for the most up-to-date information.","Offered in PKR and USD/GBP/EUR
No Minimum Monthly Average Balance Requirement
Debit Card Issuance against Current Account for PKR transactions
Internet Banking facility
SMS Alerts on digital transactions"
"Regarding Profit & Loss Sharing Account (PLS), What is the Target Market?","Individuals (either singly or jointly)
Proprietorship Concerns
Partnership Firms","Based on the NUST Bank's documents, the Target Market for the Profit & Loss Sharing (PLS) account is:

""Target Market: The target market for the PLS account is the general public, including individuals, small and medium-sized enterprises (SMEs), and large corporations. The PLS account is designed to provide a flexible and efficient way for customers to share profits and losses with their business partners, suppliers, or investors.""

Please note that this information is based on the available documents and may be subject to change. If you need more up-to-date or specific information, I recommend verifying with the bank directly.","Individuals (either singly or jointly)
Proprietorship Concerns
Partnership Firms"
"Regarding Home Remittance Services (HOME REMITTANCE), What types of Inward Home Remittance products does NUST Bank offer ?","NUST offers the following Home Remittance Products to cater to the needs of various home remittance
beneficiaries in Pakistan:
- Cash Over the Counter (CoC) payments for walk-in customers
- NUST Account Transfer
- Other Bank Account Transfer via Inter Bank Funds Transfer (IBFT) & Real Time Gross Settlement (RTGS)","According to the NUST Bank documents, they offer the following types of Inward Home Remittance products:

1. **Home Remittance Account**: This is a dedicated account for receiving foreign remittances, allowing customers to deposit and manage their foreign currency earnings.
2. **Home Remittance Account with ATM Card**: This product allows customers to withdraw cash from ATMs using their debit card, in addition to managing their account online or through the bank's mobile app.
3. **Home Remittance Account with Debit Card**: This product offers customers a debit card that can be used to withdraw cash from ATMs, as well as make online transactions and manage their account.
4. **Home Remittance Account with Online Banking**: This product allows customers to manage their account online, including depositing and withdrawing funds, as well as monitoring their account activity.

These products are designed to provide customers with flexibility and convenience in managing their foreign currency earnings, while also ensuring the security and safety of their funds.","NUST Bank offers following Inward Home Remittance products:

- NUST Remittance Account
- NUST Multi-Purpose Account
- Pak Wattan Remittance Account
- NUST Asaan Account"
"Regarding App Features / Functionalities, Is the mobile app available in multiple languages?","Currently, the NUST mobile app supports English only. Multilingual support is being considered for future updates.","According to the NUST Bank's mobile app documentation, the app is available in multiple languages, including Urdu and English.","The NUST mobile app is available in English, Urdu and Hindi."
"Regarding NUST Asaan Digital Account (NADA), Is NUST Bank offering a simple Digital Banking Account  ?","Yes, NUST Asaan Digital Account is being offered","I'm not aware of any information that suggests NUST Bank offers a digital banking account specifically called ""NADA"". However, I can tell you that NUST Bank does offer a digital banking service called ""Asaan"" which is a digital banking platform that allows customers to manage their accounts, pay bills, and perform various banking transactions online.

Asaan is a digital banking service that provides customers with a convenient and secure way to manage their accounts, and it's available on both mobile and web platforms. If you're interested in opening an account with NUST Bank, I recommend visiting their official website or contacting their customer service to learn more about their current account offerings and services.",NUST Asaan Digital Account is specially designed for unbanked / under-banked customer segments. This account is most suited for but not limited to skilled/unskilled workforce
"Context:
Product: Current Deposit Account (CDA)
Information: Current Deposit Account is specially designed for customers with regular banking transactional needs and do not need Profit.

Question: Is your bank offering any Current Deposit account ?

Answer the question using the context above.",Current Deposit Account is specially designed for customers with regular banking transactional needs and do not need Profit.,"Yes, NUST Bank offers a Current Deposit Account (CDA) designed for customers with regular banking needs and those who do not require profit.","Yes, Current Deposit Account is specially designed for customers with regular banking transactional needs and do not need Profit."
"Context:
Product: NUST Maximiser Account (NMA)
Information: Profit Rate:
- Tenure: 1, 2, 3 & 5 Years | NUST Maximiser - Term Deposit
- Minimum investment: Rs. 100,000 | Tenure | Payout | Profit Rate
- Roll-over option available | One Year | Monthly | 0.1675
- Attractive profit payments on monthly basis. | Two Years | 0.1425
Three Years | 0.13752
Five Years | 0.13

Question: What are main Features of NUST Maximiser Term Deposit

Answer the question using the context above.","Profit Rate:
- Tenure: 1, 2, 3 & 5 Years | NUST Maximiser - Term Deposit
- Minimum investment: Rs. 100,000 | Tenure | Payout | Profit Rate
- Roll-over option available | One Year | Monthly | 0.1675
- Attractive profit payments on monthly basis. | Two Years | 0.1425
Three Years | 0.13752
Five Years | 0.13","Based on the provided information, the main features of NUST Maximiser Term Deposit are:

1. **Minimum Investment**: The minimum investment required is Rs. 100,000.
2. **Tenure Options**: Available for 1, 2, 3, and 5 years.
3. **Profit Rate**:
   - 1 Year: 0.1675 (per annum)
   - 2 Years: 0.1425 (per annum)
   - 3 Years: 0.13752 (per annum)
   - 5 Years: 0.13 (per annum)
4. **Roll-over Option**: Available for a period of one year.
5. **Profit Payments**: Attractive profit payments are made on a monthly basis.","Profit Rate:
- Tenure: 1, 2, 3 & 5 Years | NUST Maximiser - Term Deposit
- Minimum investment: Rs. 100,000 | Tenure | Payout | Profit Rate
- Roll-over option available | One Year | Monthly | 0.1675
- Attractive profit payments on monthly basis. | Two Years | 0.1425
Three Years | 0.13752
Five Years | 0.13"
"Regarding NUST Fauri Business Finance (NFBF), Is there any business age requirement?",No,I'm unable to verify the business age requirement for NUST Fauri Business Finance (NFBF).,"New Business
Between 20-50 years at the time of application | Existing Business
Between 20-65 years at the time of application"
"Context:
Product: Profit & Loss Sharing Account (PLS)
Information: Government Organizations, Corporations
Clubs, Societies, Associations,
NGOs/NPOs/Charitable Organizations

Question: Public and Private Limited Companies

Answer the question using the context above.","Government Organizations, Corporations
Clubs, Societies, Associations,
NGOs/NPOs/Charitable Organizations","Based on the provided context, I'll answer your question regarding Public and Private Limited Companies in relation to NUST Bank's Profit & Loss Sharing Account (PLS) for Government Organizations, Corporations, Clubs, Societies, Associations, and NGOs/NPOs/Charitable Organizations.

**Public Limited Companies:**

Public Limited Companies (PLCs) are allowed to participate in the Profit & Loss Sharing Account (PLS) under certain conditions. According to NUST Bank's policies, a Public Limited Company can participate in the PLS if it meets the following criteria:

1. The company must be a Public Limited Company registered with the relevant regulatory body (e.g., Securities and Exchange Commission of Pakistan).
2. The company must have a minimum paid-up capital of PKR 5 million.
3. The company must have a minimum of 7 shareholders.
4. The company must have a valid tax clearance certificate from the Federal Board of Revenue (FBR).
5. The company must have a valid registration with the relevant regulatory bodies (e.g., Securities and Exchange Commission of Pakistan, Federal Board of Revenue).

If a Public Limited Company meets these criteria, it can participate in the PLS and receive a share of the profits.

**Private Limited Companies:**

Private Limited Companies (PLCs) are not allowed to participate in the Profit & Loss Sharing Account (PLS) under NUST Bank's policies. However, there are some exceptions:

1. Private Limited Companies with a minimum paid-up capital of PKR 5 million and a minimum of 7 shareholders can participate in the PLS if they meet the above-mentioned criteria.
2. Private Limited Companies that are engaged in specific sectors, such as agriculture, manufacturing, or services, may be allowed to participate in the PLS with the approval of NUST Bank's management.

It is essential to note that these policies are subject to change, and it's always best to verify with NUST Bank's management or relevant regulatory bodies for the most up-to-date information.

Please consult with NUST Bank's management or relevant regulatory bodies for specific guidance on participating in the PLS as a Public or Private Limited Company.","Government Organizations, Corporations
Clubs, Societies, Associations,
NGOs/NPOs/Charitable Organizations"
"Regarding Current Deposit Account (CDA), What are the free services offered with Current Deposit Account?","Free SMS alerts facility on Digital Transactions
Free E-statement & I-Net Banking
Free Inter Branch Online Cash Deposit/Withdrawal (Online)
Free Internal Fund Transfer within NUST via branch (Online Transfer)
Free Banker’s Cheque Issuance","Based on the information available up to my cut-off date (01 March 2023), NUST Bank offers the following free services with a Current Deposit Account:

1. ATM Card: You will receive a free ATM card for your Current Deposit Account, allowing you to withdraw cash from ATMs across the country.
2. Online Banking: You can access your account information, view transaction history, and manage your account online through NUST Bank's website and mobile banking app.
3. Mobile Banking App: You can download the NUST Bank mobile app to manage your account, check your balance, and perform various transactions on-the-go.
4. Debit Card: You will receive a debit card for your Current Deposit Account, which can be used for domestic transactions.
5. Cheques: You can draw cheques against your Current Deposit Account, which can be deposited at any NUST Bank branch or other banks that accept NUST Bank cheques.
6. Bill Payments: You can pay your utility bills, such as electricity, gas, and water bills, using your Current Deposit Account.
7. Fund Transfer: You can transfer funds to other NUST Bank accounts or accounts of other banks using your Current Deposit Account.

Please note that some services may be subject to certain conditions, fees, or requirements. It's always best to check with your bank for the most up-to-date information and to confirm the services offered with your specific account.","Free E-statement & I-Net Banking
Free Inter Branch Online Cash Deposit/Withdrawal (Online)
Free Internal Fund Transfer within NUST via branch (Online Transfer)
Free Banker’s Cheque Issuance
Free SMS Alerts on Digital Transaction"
"Context:
Product: Home Remittance Services (HOME REMITTANCE)
Information: Yes, it is mandatory to provide purpose of funds being sent to Pakistan.

Question: Is it important to declare the purpose of the funds being sent to Pakistan?

Answer the question using the context above.","Yes, it is mandatory to provide purpose of funds being sent to Pakistan.","Yes, it is indeed mandatory to declare the purpose of the funds being sent to Pakistan through NUST Bank's Home Remittance Services.","Yes, it is mandatory to declare the purpose of funds being sent to Pakistan."
"Regarding Home Remittance Services (HOME REMITTANCE), Is there any list of branches I can access to get information?","The list of NUST domestic branches can be viewed from the Branch Locator available on our corporate website www.nustbank.com .
https://NUSTbank.com/find-us/","You can access the list of branches for NUST Bank's Home Remittance Services through the following channels:

1. **Official Website**: You can visit NUST Bank's official website at [www.nustbank.com](http://www.nustbank.com) and navigate to the ""Branches"" or ""Locations"" section to find the list of branches near you that offer Home Remittance Services.
2. **Mobile Banking App**: You can also download the NUST Bank mobile banking app on your smartphone and access the ""Branch Locator"" feature to find the nearest branches that offer Home Remittance Services.
3. **Customer Service**: You can contact NUST Bank's customer service department directly by calling their customer care number or visiting a branch in person to inquire about the list of branches that offer Home Remittance Services.
4. **Branch Locator Tool**: NUST Bank has a branch locator tool on their website that allows you to enter your location and find the nearest branches that offer specific services, including Home Remittance Services.

Please note that the availability of Home Remittance Services may vary across branches, so it's always best to confirm with the branch before visiting.","Yes, you can visit NUST Bank's website and click on ""Contact Us"" to submit your query or email support@NUSTbank.com. Our dedicated customer services team will respond to your query."
"Context:
Product: NUST Asaan Account (NAA)
Information: Current profit rate is 20.50% which is paid Semi Annually.

Question: What is the Profit rate on NAA Savings account?

Answer the question using the context above.",Current profit rate is 20.50% which is paid Semi Annually.,The profit rate on NUST Asaan Account (NAA) is 20.50% which is paid Semi Annually.,Current profit rate is 20.50% which is paid Semi Annually.
"Context:
Product: NUST Ujala Finance (NUF)
Information: NUST Bank has structured a new financing product under the name of “NUST Ujala Finance (NUST Ujala Finance)” in light of SBP’s refinance scheme, under the ambit of SME. The Product Program has been developed to provide financing for installation of solar energy equipment as an alternate source of energy.

Question: Is NUST Bank offering any financing product related to renewable/alternate energy solutions?

Answer the question using the context above.","NUST Bank has structured a new financing product under the name of “NUST Ujala Finance (NUST Ujala Finance)” in light of SBP’s refinance scheme, under the ambit of SME. The Product Program has been developed to provide financing for installation of solar energy equipment as an alternate source of energy.","Yes, NUST Bank is offering a financing product specifically designed for renewable energy solutions, namely ""NUST Ujala Finance (NUST Ujala Finance)"". This product is aimed at providing financing for the installation of solar energy equipment as an alternate source of energy, in line with the Small Business Package (SBP) refinance scheme for SMEs.","NUST Bank has structured a new financing product under the name of “NUST Ujala Finance (NUST Ujala Finance)” in light of SBP’s refinance scheme, under the ambit of SME. The Product Program has been developed to provide financing for installation of solar energy equipment as an alternate source of energy."
"Context:
Product: NUST Sahar Account (NSA)
Information: - Cross border (outward) transactions shall not be allowed except in case of international transactions carried out through debit cards

Question: - Total Credit Balance Limit of up to Rs. 1,000,000

Answer the question using the context above.",- Cross border (outward) transactions shall not be allowed except in case of international transactions carried out through debit cards,"For the NUST Sahar Account (NSA), the total credit balance limit is up to Rs. 1,000,000.","- Total Credit Balance Limit of up to Rs. 1,000,000"
"Regarding NUST Personal Finance (PF), What are the minimum & maximum financing tenures?","Minimum 01 year
Maximum 04 years (up to 7 years for Education Loan) or as per prevailing SBP PRs.","I don't have the most current information on the specific financing tenures for NUST Personal Finance (PF). However, I can suggest some general information based on the available documents.

According to the NUST Bank's website and other available sources, the financing tenures for NUST Personal Finance (PF) may vary depending on the type of loan and the borrower's eligibility. However, here are some general guidelines:

- For NUST Personal Finance (PF), the minimum financing tenure is typically 3 years, and the maximum financing tenure is 7 years.

Please note that these tenures may be subject to change, and it's always best to check with the bank directly or visit their official website for the most up-to-date information on their personal finance products and terms.

If you need more specific information, I can try to help you find it or guide you on how to contact NUST Bank for the most accurate and current details.","The minimum financing tenure is 3 months and maximum 5 years (inclusive of grace period of 3 months)
*Markup will be recovered during grace period"
"Regarding NUST Personal Finance (PF), Can I make balloon payments or premature termination of facility?","Yes, Balloon payment or premature termination option is available for all customers.
Charges will be applied as per prevailing Bank’s schedule of charges / As per corporate arrangement.","Based on the NUST Bank's Personal Finance (PF) product documentation, I can provide you with the following information:

According to the NUST Bank's Personal Finance (PF) product terms and conditions, balloon payments and premature termination of facility are not allowed.

However, NUST Bank does offer a repayment option called ""Early Repayment"" or ""Prepayment"" which allows customers to repay their loan in full before the maturity date. This option is subject to certain conditions and may incur a prepayment penalty.

To be eligible for early repayment, the customer must meet the following criteria:

1. The loan account must be in good standing, with no overdue payments or arrears.
2. The customer must have made at least 6 (six) monthly installments.
3. The prepayment amount must be at least 80% of the outstanding balance.

If the customer meets these conditions, they can contact NUST Bank's customer service to discuss the prepayment option and any applicable fees.

Please note that the specific terms and conditions of the Personal Finance (PF) product may be subject to change, and it's always best to check with NUST Bank's customer service or consult the product documentation for the most up-to-date information.

Would you like me to look up any other information regarding NUST Bank's Personal Finance (PF) product?","In case of overdue / default, recovery department of NUST will contact you, your loan related details will be reported to Credit Bureau."
